Dates,logret_rep,logret_dem,SPX Index,Party
7/29/80,0.000882656,0.021178273,0.007956405,1
7/30/80,-0.012524816,0.005929678,-0.001389854,1
7/31/80,0.00171358,0.00079612,-0.004592054,1
8/1/80,-0.000627544,-0.014147001,-0.003787883,1
8/4/80,-0.001968811,0.002316966,-0.001899336,1
8/5/80,-0.011410033,0.002071068,-0.001985769,1
8/6/80,0.00665588,0.004916103,0.006686227,1
8/7/80,0.014365579,0.016745834,0.014294709,1
8/8/80,0.005506965,0.00847042,0.002511038,1
8/11/80,0.007340237,0.00769392,0.009420739,1
8/12/80,-0.010820064,-0.000422242,-0.007965605,1
8/13/80,-0.009731547,-0.008946249,-0.004128391,1
8/14/80,0.007535618,0.015970092,0.015853549,1
8/15/80,0.004264107,0.006566,0.003745472,1
8/18/80,-0.017297988,-0.016196841,-0.018707141,1
8/19/80,-0.014193409,-0.005096077,-0.006423047,1
8/20/80,0.006143531,0.002820411,0.009497981,1
8/21/80,0.016602828,0.00327229,0.013561978,1
8/22/80,0.006659596,0.004206583,0.004453642,1
8/25/80,-0.004734987,0.001028249,-0.006847706,1
8/26/80,-0.006260086,-0.002435314,-0.002560001,1
8/27/80,-0.005643605,-0.010898668,-0.010629831,1
8/28/80,-0.012614135,-0.007259285,-0.011726519,1
8/29/80,-0.000972921,-0.00617443,0.00245439,1
9/1/80,0,0,0,1
9/2/80,0.006774862,0.010550002,0.010970814,1
9/3/80,0.007248426,0.028702553,0.019132062,1
9/4/80,-0.007209002,-0.006202223,-0.00556573,1
9/5/80,0.001042137,-0.002964124,-0.004314829,1
9/8/80,-0.013001183,-0.004776968,-0.012651766,1
9/9/80,0.003530078,0.002098894,0.006144413,1
9/10/80,0.010175741,0.005532903,0.005946658,1
9/11/80,0.001559082,0.002522997,0.006787266,1
9/12/80,-0.009280171,0.009140944,-0.000955414,1
9/15/80,0.001143277,0.011478961,0.001034991,1
9/16/80,0.017265193,0.018886033,0.00847832,1
9/17/80,0.027201119,0.008410883,0.0166664,1
9/18/80,-0.013290754,-0.015954175,-0.003653753,1
