Dates,EXC,F,APTV,STZ,EL,SPWR,CO,WMT,HD,NEE,CSX,MCD,SPG,FSLR,NSC,Party
1974-01-02,0.338475108,0.001873393,,,,,,0.015538981,,0.389899731,,0.021865556,,,,0
1974-01-03,0.349987507,0.001896522,,,,,,0.017962497,,0.417468369,,0.021346081,,,,0
1974-01-04,0.352290303,0.001879177,,,,,,0.017392267,,0.452913851,,0.020023743,,,,0
1974-01-07,0.352290303,0.001861829,,,,,,0.017392267,,0.445037425,,0.01898478,,,,0
1974-01-08,0.3545928,0.001856048,,,,,,0.017962497,,0.421406835,,0.018843099,,,,0
1974-01-09,0.352290303,0.001832919,,,,,,0.017392267,,0.415499121,,0.01837083,,,,0
1974-01-10,0.349987507,0.001838701,,,,,,0.017392267,,0.407622635,,0.018512525,,,,0
1974-01-11,0.343079984,0.001908085,,,,,,0.017392267,,0.419437528,,0.019457037,,,,0
1974-01-14,0.345382601,0.001931215,,,,,,0.017677376,,0.42731446,,0.019504247,,,,0
1974-01-15,0.349987507,0.001948561,,,,,,0.017677376,,0.417468369,,0.019693155,,,,0
1974-01-16,0.349987507,0.002017946,,,,,,0.017677376,,0.419437528,,0.020354331,,,,0
1974-01-17,0.345382601,0.00208733,,,,,,0.017677376,,0.425345212,,0.02096826,,,,0
1974-01-18,0.345382601,0.002017946,,,,,,0.018247619,,0.421406835,,0.02063768,,,,0
1974-01-21,0.349987507,0.002075766,,,,,,0.017819935,,0.419437528,,0.021629419,,,,0
1974-01-22,0.347685009,0.002127807,,,,,,0.01910297,,0.423375815,,0.021062713,,,,0
1974-01-23,0.349987507,0.002150933,,,,,,0.020100888,,0.429283381,,0.021346081,,,,0
1974-01-24,0.345382601,0.002127807,,,,,,0.020100888,,0.429283381,,0.021062713,,,,0
1974-01-25,0.352290303,0.002100733,,,,,,0.020528562,,0.425345212,,0.020684896,,,,0
1974-01-28,0.345382601,0.002088965,,,,,,0.020528562,,0.42731446,,0.020307099,,,,0
1974-01-29,0.340777576,0.002106618,,,,,,0.020528562,,0.42731446,,0.020354331,,,,0
1974-01-30,0.345382601,0.002141925,,,,,,0.021098807,,0.421406835,,0.020732131,,,,0
1974-01-31,0.340777576,0.002141925,,,,,,0.02166903,,0.413530231,,0.020496003,,,,0
1974-02-01,0.343079984,0.002130155,,,,,,0.020528562,,0.415499121,,0.020259872,,,,0
1974-02-04,0.343079984,0.00204189,,,,,,0.019673215,,0.401714981,,0.019598709,,,,0
1974-02-05,0.352290303,0.002065427,,,,,,0.020243449,,0.397776276,,0.019457037,,,,0
1974-02-06,0.347685009,0.002077196,,,,,,0.020243449,,0.393838018,,0.019740395,,,,0
1974-02-07,0.3545928,0.00209485,,,,,,0.020243449,,0.401714981,,0.019457037,,,,0
1974-02-08,0.349987507,0.002100733,,,,,,0.018247619,,0.401714981,,0.018890331,,,,0
1974-02-11,0.349987507,0.002065427,,,,,,0.019245522,,0.405653268,,0.018134711,,,,0
1974-02-12,0.347685009,0.002083081,,,,,,0.016679456,,0.405653268,,0.018323604,,,,0
1974-02-13,0.3545928,0.002065427,,,,,,0.018247619,,0.403684288,,0.018323604,,,,0
1974-02-14,0.349987507,0.002088965,,,,,,0.018247619,,0.403684288,,0.018654203,,,,0
1974-02-15,0.349987507,0.00209485,,,,,,0.01853274,,0.397776276,,0.01879587,,,,0
1974-02-18,0.349987507,0.00209485,,,,,,0.01853274,,0.397776276,,0.01879587,,,,0
1974-02-19,0.352290303,0.002059543,,,,,,0.01810506,,0.385961205,,0.018843099,,,,0
1974-02-20,0.352290303,0.00209485,,,,,,0.01810506,,0.382022977,,0.019220907,,,,0
1974-02-21,0.3545928,0.002118386,,,,,,0.01853274,,0.383992195,,0.019598709,,,,0
1974-02-22,0.359197974,0.002153694,,,,,,0.018390173,,0.383992195,,0.019645929,,,,0
1974-02-25,0.355152369,0.002147811,,,,,,0.019388087,,0.389899731,,0.019409811,,,,0
1974-02-26,0.352800578,0.002183115,,,,,,0.01910297,,0.389899731,,0.019504247,,,,0
1974-02-27,0.355152369,0.002206653,,,,,,0.01910297,,0.391869098,,0.019598709,,,,0
1974-02-28,0.352800578,0.002206653,,,,,,0.01910297,,0.395807296,,0.019504247,,,,0
1974-03-01,0.357504368,0.002206653,,,,,,0.017677376,,0.391869098,,0.019834835,,,,0
1974-03-04,0.355152369,0.002218422,,,,,,0.017677376,,0.387930632,,0.02063768,,,,0
1974-03-05,0.352800578,0.002277266,,,,,,0.017819935,,0.382022977,,0.021062713,,,,0
1974-03-06,0.350448459,0.002371417,,,,,,0.017962497,,0.382022977,,0.021204395,,,,0
1974-03-07,0.350448459,0.002341995,,,,,,0.017962497,,0.374146312,,0.02115717,,,,0
1974-03-08,0.355152369,0.002383186,,,,,,0.018390173,,0.374146312,,0.021582197,,,,0
1974-03-11,0.352800578,0.002424374,,,,,,0.01910297,,0.382022977,,0.022243362,,,,0
1974-03-12,0.350448459,0.002418492,,,,,,0.01910297,,0.382022977,,0.022007221,,,,0
1974-03-13,0.34809655,0.00244203,,,,,,0.018446557,,0.405653268,,0.022290573,,,,0
1974-03-14,0.34809655,0.002471452,,,,,,0.018303566,,0.397776276,,0.021912789,,,,0
1974-03-15,0.34809655,0.00244203,,,,,,0.018446557,,0.401714981,,0.02167665,,,,0
1974-03-18,0.34809655,0.002406723,,,,,,0.018017568,,0.385961205,,0.02096826,,,,0
1974-03-19,0.34809655,0.002406723,,,,,,0.017588586,,0.382022977,,0.020779373,,,,0
1974-03-20,0.345744669,0.002418492,,,,,,0.017445592,,0.382022977,,0.02096826,,,,0
1974-03-21,0.343392521,0.002412608,,,,,,0.017874571,,0.378084749,,0.02063768,,,,0
1974-03-22,0.341040552,0.002400839,,,,,,0.018160569,,0.380053937,,0.020921038,,,,0
1974-03-25,0.343392521,0.002418492,,,,,,0.018160569,,0.382022977,,0.021062713,,,,0
1974-03-26,0.341040552,0.002430261,,,,,,0.018160569,,0.378084749,,0.020779373,,,,0
1974-03-27,0.341040552,0.002394954,,,,,,0.018160569,,0.374146312,,0.020354331,,,,0
1974-03-28,0.338688433,0.002312573,,,,,,0.017874571,,0.358392686,,0.020023743,,,,0
1974-03-29,0.341040552,0.002312573,,,,,,0.017874571,,0.354454398,,0.019882064,,,,0
1974-04-01,0.341040552,0.00228315,,,,,,0.017874571,,0.342639238,,0.019834835,,,,0
1974-04-02,0.341040552,0.002294918,,,,,,0.018017568,,0.336731672,,0.019740395,,,,0
1974-04-03,0.338688433,0.002341995,,,,,,0.017874571,,0.34066999,,0.020212647,,,,0
1974-04-04,0.341040552,0.002359648,,,,,,0.017874571,,0.34066999,,0.020307099,,,,0
1974-04-05,0.341040552,0.002312573,,,,,,0.018160569,,0.332793236,,0.019882064,,,,0
1974-04-08,0.336336464,0.002318458,,,,,,0.018732542,,0.336731672,,0.019740395,,,,0
1974-04-09,0.333984524,0.002347879,,,,,,0.018732542,,0.334762514,,0.019740395,,,,0
1974-04-10,0.333984524,0.002353764,,,,,,0.01858956,,0.32885474,,0.019645929,,,,0
1974-04-11,0.331632435,0.002371417,,,,,,0.01858956,,0.324916661,,0.019457037,,,,0
1974-04-12,0.331632435,0.002371417,,,,,,0.01858956,,0.324916661,,0.019457037,,,,0
1974-04-15,0.329280585,0.002400839,,,,,,0.018875545,,0.319008797,,0.019551493,,,,0
1974-04-16,0.326928377,0.002459685,,,,,,0.01858956,,0.320978135,,0.020732131,,,,0
1974-04-17,0.322224587,0.002477336,,,,,,0.018875545,,0.320978135,,0.020873811,,,,0
1974-04-18,0.326928377,0.002465569,,,,,,0.018732542,,0.326885611,,0.020826578,,,,0
1974-04-19,0.326928377,0.0024538,,,,,,0.01858956,,0.326885611,,0.020448789,,,,0
1974-04-22,0.319872558,0.002459685,,,,,,0.01858956,,0.322947264,,0.020496003,,,,0
1974-04-23,0.291648477,0.002418492,,,,,,0.018303566,,0.311132222,,0.019929288,,,,0
1974-04-24,0.275184482,0.002379038,,,,,,0.018160569,,0.303255409,,0.019268129,,,,0
1974-04-25,0.275184482,0.002343171,,,,,,0.018017568,,0.299316883,,0.019504247,,,,0
1974-04-26,0.277536541,0.002367082,,,,,,0.018303566,,0.297347814,,0.019740395,,,,0
1974-04-29,0.265776366,0.002361105,,,,,,0.018160569,,0.287501752,,0.020259872,,,,0
1974-04-30,0.258720458,0.002361105,,,,,,0.018017568,,0.273717433,,0.020212647,,,,0
1974-05-01,0.261072457,0.002438812,,,,,,0.017731579,,0.2776559,,0.020590456,,,,0
1974-05-02,0.258720458,0.002438812,,,,,,0.017731579,,0.2776559,,0.020496003,,,,0
1974-05-03,0.258720458,0.002444789,,,,,,0.017445592,,0.2776559,,0.020212647,,,,0
1974-05-06,0.256368428,0.002474677,,,,,,0.017445592,,0.28947112,,0.020496003,,,,0
1974-05-07,0.263424307,0.00249261,,,,,,0.018303566,,0.291440248,,0.020921038,,,,0
1974-05-08,0.263424307,0.002462723,,,,,,0.019161545,,0.293409318,,0.021393294,,,,0
1974-05-09,0.268128484,0.002504564,,,,,,0.018875545,,0.309163034,,0.022290573,,,,0
1974-05-10,0.272832483,0.002468699,,,,,,0.01858956,,0.303255409,,0.021487745,,,,0
1974-05-13,0.263424307,0.002426857,,,,,,0.01858956,,0.307193696,,0.021346081,,,,0
1974-05-14,0.246960282,0.002390993,,,,,,0.018446557,,0.3131015,,0.021440504,,,,0
1974-05-15,0.228144318,0.002408924,,,,,,0.018446557,,0.311132222,,0.021582197,,,,0
1974-05-16,0.242256328,0.002349149,,,,,,0.018732542,,0.31507045,,0.021582197,,,,0
1974-05-17,0.239904404,0.002325242,,,,,,0.01858956,,0.309163034,,0.021109939,,,,0
1974-05-20,0.246960282,0.002367082,,,,,,0.018446557,,0.31507045,,0.02125161,,,,0
1974-05-21,0.242256328,0.002367082,,,,,,0.018303566,,0.3131015,,0.021723874,,,,0
1974-05-22,0.237552449,0.002331218,,,,,,0.018303566,,0.299316883,,0.021487745,,,,0
1974-05-23,0.239904404,0.002390993,,,,,,0.018303566,,0.301286131,,0.021440504,,,,0
1974-05-24,0.233294234,0.002420879,,,,,,0.019733535,,0.305224508,,0.022054451,,,,0
1974-05-27,0.233294234,0.002420879,,,,,,0.019733535,,0.305224508,,0.022054451,,,,0
1974-05-28,0.228434116,0.002456744,,,,,,0.020162519,,0.301286131,,0.022007221,,,,0
1974-05-29,0.223573849,0.002468699,,,,,,0.019876529,,0.295378745,,0.021015486,,,,0
1974-05-30,0.226004004,0.002474677,,,,,,0.019447526,,0.297347814,,0.020779373,,,,0
1974-05-31,0.228434116,0.002474677,,,,,,0.019447526,,0.303255409,,0.020590456,,,,0
1974-06-03,0.223573849,0.002504564,,,,,,0.019590529,,0.307193696,,0.021298829,,,,0
1974-06-04,0.226004004,0.002516518,,,,,,0.019590529,,0.31507045,,0.021298829,,,,0
1974-06-05,0.226004004,0.002546407,,,,,,0.020019516,,0.324916661,,0.021487745,,,,0
1974-06-06,0.230864301,0.002558362,,,,,,0.020734496,,0.330823928,,0.022148889,,,,0
1974-06-07,0.230864301,0.002546407,,,,,,0.021735469,,0.330823928,,0.022290573,,,,0
1974-06-10,0.233294234,0.002582272,,,,,,0.022593467,,0.336731672,,0.023896249,,,,0
1974-06-11,0.228434116,0.002582272,,,,,,0.021735469,,0.330823928,,0.023235116,,,,0
1974-06-12,0.228434116,0.002570317,,,,,,0.021878459,,0.322947264,,0.023235116,,,,0
1974-06-13,0.226004004,0.002570317,,,,,,0.022307463,,0.319008797,,0.023424,,,,0
