Dates,HON,AMZN,GOOG,CVX,COP,FB,MRO,MRK,C,PYPL,CRM,AXP,QCOM,V,GILD,Party
1974-01-02,0.569491446,,,0.112406813,,,0.257748157,0.396858424,,,,0.294467986,,,,0
1974-01-03,0.592676878,,,0.116019905,,,0.263802826,0.398710042,,,,0.282012939,,,,0
1974-01-04,0.602820277,,,0.115618452,,,0.266397536,0.380811244,,,,0.264220476,,,,0
1974-01-07,0.61731118,,,0.116421439,,,0.270722032,0.372787863,,,,0.288240671,,,,0
1974-01-08,0.583982348,,,0.110399559,,,0.264667809,0.367850035,,,,0.283792377,,,,0
1974-01-09,0.562246084,,,0.10317342,,,0.264667809,0.360443711,,,,0.261551619,,,,0
1974-01-10,0.557898641,,,0.10237053,,,0.256883293,0.357974887,,,,0.265999764,,,,0
1974-01-11,0.570940375,,,0.099961825,,,0.272451907,0.362912536,,,,0.279344112,,,,0
1974-01-14,0.557898641,,,0.097954489,,,0.274181873,0.366615862,,,,0.283792377,,,,0
1974-01-15,0.54050982,,,0.099158913,,,0.276776493,0.375256211,,,,0.287350923,,,,0
1974-01-16,0.54050982,,,0.103976332,,,0.278506339,0.378959537,,,,0.291799217,,,,0
1974-01-17,0.537611544,,,0.101166174,,,0.285425782,0.380194187,,,,0.313150346,,,,0
1974-01-18,0.505731761,,,0.096348725,,,0.275046825,0.374022096,,,,0.301585048,,,,0
1974-01-21,0.481096745,,,0.099158913,,,0.272451907,0.382662863,,,,0.313150346,,,,0
1974-01-22,0.502833247,,,0.096348725,,,0.275911659,0.390069216,,,,0.323825538,,,,0
1974-01-23,0.504282713,,,0.093137152,,,0.283695936,0.396241218,,,,0.33894971,,,,0
1974-01-24,0.517324269,,,0.095947273,,,0.278506339,0.392538071,,,,0.334501147,,,,0
1974-01-25,0.518773556,,,0.095545866,,,0.279371351,0.398092777,,,,0.337170184,,,,0
1974-01-28,0.524569571,,,0.094341435,,,0.275911659,0.390069216,,,,0.33983925,,,,0
1974-01-29,0.520222127,,,0.093940049,,,0.276776493,0.385131687,,,,0.33094278,,,,0
1974-01-30,0.528917074,,,0.097954489,,,0.282831162,0.388834804,,,,0.328273654,,,,0
1974-01-31,0.523120701,,,0.100363269,,,0.279371351,0.385749012,,,,0.313150346,,,,0
1974-02-01,0.507180452,,,0.097553082,,,0.273316979,0.382662863,,,,0.310481459,,,,0
1974-02-04,0.491240442,,,0.094287671,,,0.267184913,0.375256211,,,,0.301585048,,,,0
1974-02-05,0.481952339,,,0.094287671,,,0.268936932,0.372787863,,,,0.303364247,,,,0
1974-02-06,0.489254683,,,0.094695851,,,0.274192989,0.374022096,,,,0.314929456,,,,0
1974-02-07,0.496556997,,,0.097144932,,,0.273317069,0.371553212,,,,0.310481459,,,,0
1974-02-08,0.486333817,,,0.096328527,,,0.27156508,0.367233008,,,,0.3006953,,,,0
1974-02-11,0.490715265,,,0.093471386,,,0.268061012,0.360443711,,,,0.288240671,,,,0
1974-02-12,0.48779425,,,0.091430537,,,0.269812971,0.360443711,,,,0.290019751,,,,0
1974-02-13,0.490715265,,,0.092246838,,,0.269812971,0.357974887,,,,0.288240671,,,,0
1974-02-14,0.490715265,,,0.091430537,,,0.27244094,0.356740654,,,,0.29090932,,,,0
1974-02-15,0.496556997,,,0.091430537,,,0.275068998,0.362912536,,,,0.297136813,,,,0
1974-02-18,0.496556997,,,0.091430537,,,0.275068998,0.362912536,,,,0.297136813,,,,0
1974-02-19,0.502398908,,,0.090614192,,,0.275068998,0.37340486,,,,0.304253757,,,,0
1974-02-20,0.512621939,,,0.093063205,,,0.284705371,0.375256211,,,,0.325605005,,,,0
1974-02-21,0.524305701,,,0.094695851,,,0.296093434,0.389452219,,,,0.326494545,,,,0
1974-02-22,0.534529209,,,0.097553082,,,0.301349431,0.383280128,,,,0.327384442,,,,0
1974-02-25,0.535989881,,,0.094695851,,,0.301349431,0.381428599,,,,0.328273654,,,,0
1974-02-26,0.538910568,,,0.094695851,,,0.30485335,0.385131687,,,,0.330053151,,,,0
1974-02-27,0.535989881,,,0.094695851,,,0.311861634,0.390069216,,,,0.328273654,,,,0
1974-02-28,0.534529209,,,0.093063205,,,0.306605637,0.387600482,,,,0.328273654,,,,0
1974-03-01,0.511161506,,,0.091022313,,,0.309233725,0.388834804,,,,0.328273654,,,,0
1974-03-04,0.502398908,,,0.091022313,,,0.310985625,0.38871035,,,,0.319377631,,,,0
1974-03-05,0.530147612,,,0.097553082,,,0.313613772,0.395530105,,,,0.336280465,,,,0
1974-03-06,0.534529209,,,0.100818492,,,0.311861634,0.396769851,,,,0.343397588,,,,0
1974-03-07,0.519924343,,,0.099593975,,,0.303977579,0.391810238,,,,0.323825538,,,,0
1974-03-08,0.537450194,,,0.103267498,,,0.301349431,0.401729673,,,,0.337170184,,,,0
1974-03-11,0.538910568,,,0.104083836,,,0.308357596,0.404209286,,,,0.337170184,,,,0
1974-03-12,0.534529209,,,0.102451108,,,0.308357596,0.419088155,,,,0.337170184,,,,0
1974-03-13,0.528687239,,,0.103675649,,,0.310109645,0.424667835,,,,0.337170184,,,,0
1974-03-14,0.525766551,,,0.102042973,,,0.307481587,0.420327932,,,,0.334501147,,,,0
1974-03-15,0.524305701,,,0.104083836,,,0.306605637,0.420947999,,,,0.332721949,,,,0
1974-03-18,0.519924343,,,0.101226635,,,0.30310151,0.416608363,,,,0.319377631,,,,0
1974-03-19,0.524305701,,,0.098369442,,,0.297845334,0.414128304,,,,0.313150346,,,,0
1974-03-20,0.522845566,,,0.097961262,,,0.30222553,0.412268728,,,,0.303364247,,,,0
1974-03-21,0.522845566,,,0.099593975,,,0.301349431,0.415988505,,,,0.310481459,,,,0
1974-03-22,0.524305701,,,0.098777577,,,0.301349431,0.417847991,,,,0.310481459,,,,0
1974-03-25,0.517003655,,,0.097961262,,,0.310109645,0.422188073,,,,0.310481459,,,,0
1974-03-26,0.518464148,,,0.098369442,,,0.314489752,0.416608363,,,,0.308702201,,,,0
1974-03-27,0.522845566,,,0.097961262,,,0.306605637,0.412268728,,,,0.304253757,,,,0
1974-03-28,0.500938535,,,0.095920369,,,0.30310151,0.405449122,,,,0.301585048,,,,0
1974-03-29,0.496556997,,,0.095512211,,,0.297845334,0.401109368,,,,0.297136813,,,,0
1974-04-01,0.490715265,,,0.094695851,,,0.298721373,0.400489599,,,,0.297136813,,,,0
1974-04-02,0.48779425,,,0.095104061,,,0.296969354,0.399869531,,,,0.303364247,,,,0
1974-04-03,0.490715265,,,0.095512211,,,0.30485335,0.410408854,,,,0.308702201,,,,0
1974-04-04,0.48779425,,,0.094695851,,,0.30485335,0.404209286,,,,0.306033134,,,,0
1974-04-05,0.480492055,,,0.093063205,,,0.296969354,0.400489599,,,,0.297136813,,,,0
1974-04-08,0.471729279,,,0.091022313,,,0.293465376,0.396149904,,,,0.295357525,,,,0
1974-04-09,0.484872997,,,0.092246838,,,0.292589426,0.396149904,,,,0.298916191,,,,0
1974-04-10,0.484872997,,,0.091022313,,,0.293465376,0.396769851,,,,0.292688817,,,,0
1974-04-11,0.490715265,,,0.091430537,,,0.295217574,0.393050224,,,,0.292688817,,,,0
1974-04-12,0.490715265,,,0.091430537,,,0.295217574,0.393050224,,,,0.292688817,,,,0
1974-04-15,0.490715265,,,0.090614192,,,0.30222553,0.394910127,,,,0.29090932,,,,0
1974-04-16,0.498017341,,,0.091430537,,,0.306605637,0.405449122,,,,0.292688817,,,,0
1974-04-17,0.511161506,,,0.091430537,,,0.30222553,0.40606916,,,,0.3006953,,,,0
1974-04-18,0.517003655,,,0.092246838,,,0.303977579,0.399249554,,,,0.29090932,,,,0
1974-04-19,0.514082611,,,0.092246838,,,0.300473452,0.399249554,,,,0.281123519,,,,0
1974-04-22,0.515542865,,,0.091838747,,,0.303977579,0.399249554,,,,0.283792377,,,,0
1974-04-23,0.509701371,,,0.091430537,,,0.301349431,0.395530105,,,,0.274896145,,,,0
1974-04-24,0.495096505,,,0.090614192,,,0.300473452,0.389330447,,,,0.271337628,,,,0
1974-04-25,0.490715265,,,0.091022313,,,0.300473452,0.395530105,,,,0.270448029,,,,0
1974-04-26,0.496556997,,,0.091838747,,,0.299597383,0.389330447,,,,0.262441307,,,,0
1974-04-29,0.512621939,,,0.093471386,,,0.30222553,0.391190439,,,,0.262441307,,,,0
1974-04-30,0.514082611,,,0.093879506,,,0.303977579,0.398629725,,,,0.274006426,,,,0
1974-05-01,0.519924343,,,0.099185832,,,0.307481587,0.407929003,,,,0.279344112,,,,0
1974-05-02,0.519924343,,,0.098777577,,,0.312737793,0.406689197,,,,0.286461234,,,,0
1974-05-03,0.514082611,,,0.097144932,,,0.312737793,0.395530105,,,,0.285571605,,,,0
1974-05-06,0.509663999,,,0.097975247,,,0.313623726,0.396149904,,,,0.286461234,,,,0
1974-05-07,0.519974768,,,0.097975247,,,0.318053454,0.396769851,,,,0.283792377,,,,0
1974-05-08,0.530286372,,,0.097144932,,,0.319825292,0.396769851,,,,0.265110046,,,,0
1974-05-09,0.547962368,,,0.098390311,,,0.3295708,0.404209286,,,,0.266889453,,,,0
1974-05-10,0.53912437,,,0.096314676,,,0.320711255,0.401729673,,,,0.257103443,,,,0
1974-05-13,0.53912437,,,0.096729778,,,0.324255019,0.404209286,,,,0.256213725,,,,0
1974-05-14,0.53617841,,,0.095069237,,,0.3295708,0.41164875,,,,0.247317478,,,,0
1974-05-15,0.53617841,,,0.092163116,,,0.321597159,0.405449122,,,,0.253544748,,,,0
1974-05-16,0.53617841,,,0.089672245,,,0.322483301,0.407929003,,,,0.255324125,,,,0
1974-05-17,0.509663999,,,0.088426776,,,0.31716755,0.405449122,,,,0.250876069,,,,0
1974-05-20,0.503771603,,,0.087596476,,,0.309194118,0.40606916,,,,0.250876069,,,,0
1974-05-21,0.477257758,,,0.088841908,,,0.291475177,0.407929003,,,,0.243758962,,,,0
1974-05-22,0.453689337,,,0.088011637,,,0.285273552,0.405449122,,,,0.23575221,,,,0
1974-05-23,0.461054355,,,0.088011637,,,0.287931472,0.405449122,,,,0.241979778,,,,0
