Date,Div Yld,Grwth Rate,Div Pay Ratio,Mkt Return,RF Rate,Premium
2/13/01,2.26%,10.76%,29.03%,10.70%,0.0184,8.86%
2/14/01,2.03%,12.47%,32.01%,10.57%,0.0299,7.58%
2/15/01,2.04%,11.47%,35.41%,9.78%,0.0211,7.67%
2/18/01,1.88%,12.58%,35.79%,10.02%,0.0246,7.55%
2/19/01,2.24%,13.64%,34.39%,11.22%,0.0262,8.60%
2/20/01,1.87%,10.91%,34.32%,8.88%,0.0188,7.00%
3/13/01,2.26%,10.82%,28.77%,10.73%,0.0191,8.82%
3/14/01,2.02%,12.39%,31.90%,10.62%,0.03,7.62%
3/17/01,2.11%,10.79%,36.04%,9.41%,0.0244,6.96%
3/18/01,1.86%,12.69%,36.03%,10.08%,0.0245,7.63%
3/19/01,2.28%,13.50%,34.63%,11.26%,0.0255,8.71%
3/20/01,1.89%,10.85%,34.81%,8.92%,0.0179,7.13%
4/13/01,2.23%,10.86%,28.82%,10.67%,0.019,8.77%
4/16/01,2.24%,11.67%,35.22%,10.04%,0.0224,7.80%
4/17/01,2.09%,10.77%,36.18%,9.40%,0.0244,6.96%
4/18/01,1.84%,12.68%,35.56%,10.08%,0.0245,7.63%
4/19/01,2.20%,13.61%,34.58%,11.12%,0.0267,8.45%
5/15/01,2.05%,11.40%,35.30%,9.86%,0.0203,7.83%
5/16/01,2.21%,11.69%,35.02%,10.04%,0.0224,7.81%
5/17/01,2.08%,10.79%,36.12%,9.40%,0.0234,7.06%
5/18/01,1.83%,12.64%,35.35%,10.03%,0.0248,7.56%
6/14/01,2.03%,12.26%,32.06%,10.54%,0.0296,7.58%
6/15/01,2.07%,11.35%,35.42%,9.88%,0.0194,7.94%
6/16/01,2.24%,11.68%,35.09%,10.09%,0.0217,7.91%
6/17/01,2.07%,10.83%,36.08%,9.40%,0.0242,6.98%
6/20/01,1.87%,10.73%,34.88%,8.78%,0.0181,6.97%
7/13/01,2.25%,11.05%,29.01%,10.71%,0.019,8.81%
7/14/01,2.01%,12.16%,32.01%,10.46%,0.0294,7.52%
